seed,relays,width,height,network_config,pso_400,pso_final,pso_extra_20_gain,naive_400,delta,pso_file,naive_file,area
37283284,4,350.0,350.0,1,0.979167,0.979167,0.0,0.966667,0.012499999999999956,2026-09-17_22-02-11.log,2026-09-17_22-10-14.log,350
37283284,4,400.0,400.0,1,0.916667,0.916667,0.0,0.913333,0.003334000000000059,2026-09-17_22-17-58.log,2026-09-17_22-29-18.log,400
37283284,4,500.0,500.0,1,0.713889,0.736111,0.022221999999999964,0.669444,0.04444499999999996,2026-09-17_22-39-13.log,2026-09-17_22-51-40.log,500
37283284,4,600.0,600.0,1,0.52619,0.52619,0.0,0.485714,0.04047600000000007,2026-09-17_23-02-32.log,2026-09-17_23-15-40.log,600
37283284,4,700.0,700.0,1,0.441667,0.441667,0.0,0.4125,0.029167,2026-09-17_23-27-38.log,2026-09-17_23-42-53.log,700
1555680,4,350.0,350.0,1,0.9875,0.9875,0.0,0.966667,0.02083299999999999,2026-09-17_23-55-48.log,2026-09-18_00-04-42.log,350
1555680,4,400.0,400.0,1,0.916667,0.916667,0.0,0.91,0.0066669999999999785,2026-09-18_00-12-33.log,2026-09-18_00-24-13.log,400
1555680,4,500.0,500.0,1,0.727778,0.727778,0.0,0.658333,0.06944500000000009,2026-09-18_00-33-50.log,2026-09-18_00-46-31.log,500
1555680,4,600.0,600.0,1,0.495238,0.495238,0.0,0.466667,0.028571000000000013,2026-09-18_00-57-27.log,2026-09-18_01-10-13.log,600
1555680,4,700.0,700.0,1,0.447917,0.447917,0.0,0.39375,0.05416700000000002,2026-09-18_01-21-50.log,2026-09-18_01-37-32.log,700
60466,4,350.0,350.0,1,0.995833,0.995833,0.0,0.991667,0.004166000000000003,2026-09-18_01-50-21.log,2026-09-18_01-58-40.log,350
60466,4,400.0,400.0,1,0.876667,0.876667,0.0,0.86,0.016666999999999987,2026-09-18_02-06-08.log,2026-09-18_02-17-05.log,400
60466,4,500.0,500.0,1,0.741667,0.741667,0.0,0.708333,0.033333999999999975,2026-09-18_02-26-38.log,2026-09-18_02-38-56.log,500
