pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
1,37283284,4,350.0,350.0,420,400,400,0.979167,0.966667,0.979167,0.966667,0.012499999999999956,243,108,471.913,450.964
2,37283284,4,400.0,400.0,420,400,400,0.916667,0.913333,0.916667,0.913333,0.003334000000000059,326,260,667.844,582.125
3,37283284,4,500.0,500.0,420,400,400,0.736111,0.669444,0.713889,0.669444,0.04444499999999996,415,209,734.838,639.423
4,37283284,4,600.0,600.0,420,400,400,0.52619,0.485714,0.52619,0.485714,0.04047600000000007,338,69,776.413,704.635
5,37283284,4,700.0,700.0,420,400,400,0.441667,0.4125,0.441667,0.4125,0.029167,316,7,903.237,761.427
6,1555680,4,350.0,350.0,420,400,400,0.9875,0.966667,0.9875,0.966667,0.02083299999999999,132,253,522.584,458.712
7,1555680,4,400.0,400.0,420,400,400,0.916667,0.91,0.916667,0.91,0.0066669999999999785,366,203,688.387,564.361
8,1555680,4,500.0,500.0,420,400,400,0.727778,0.658333,0.727778,0.658333,0.06944500000000009,291,377,749.614,642.803
9,1555680,4,600.0,600.0,420,400,400,0.495238,0.466667,0.495238,0.466667,0.028571000000000013,211,180,754.786,683.487
10,1555680,4,700.0,700.0,420,400,400,0.447917,0.39375,0.447917,0.39375,0.05416700000000002,275,195,930.338,755.593
11,60466,4,350.0,350.0,420,400,400,0.995833,0.991667,0.995833,0.991667,0.004166000000000003,214,179,487.347,436.101
12,60466,4,400.0,400.0,420,400,400,0.876667,0.86,0.876667,0.86,0.016666999999999987,344,362,645.599,559.896
13,60466,4,500.0,500.0,420,400,400,0.741667,0.708333,0.741667,0.708333,0.033333999999999975,247,157,726.692,622.897
14,60466,4,600.0,600.0,420,400,400,0.516667,0.490476,0.516667,0.490476,0.026190999999999964,334,16,802.679,697.086
15,60466,4,700.0,700.0,420,400,400,0.404167,0.36875,0.402083,0.36875,0.033333,413,328,879.309,728.264
16,37283284,5,350.0,350.0,420,400,400,0.9875,0.970833,0.9875,0.970833,0.0166670000000001,242,344,516.919,473.043
17,37283284,5,400.0,400.0,420,400,400,0.973333,0.94,0.973333,0.94,0.03333300000000006,349,200,678.604,626.879
18,37283284,5,500.0,500.0,420,400,400,0.761111,0.727778,0.761111,0.727778,0.033332999999999946,318,51,776.458,702.718
19,37283284,5,600.0,600.0,420,400,400,0.561905,0.602381,0.559524,0.602381,-0.042857000000000034,418,228,826.724,793.491
20,37283284,5,700.0,700.0,420,400,400,0.491667,0.439583,0.491667,0.439583,0.05208400000000002,393,80,953.819,826.975
21,1555680,5,350.0,350.0,420,400,400,0.9875,0.975,0.9875,0.975,0.012500000000000067,255,332,521.787,465.712
22,1555680,5,400.0,400.0,420,400,400,0.956667,0.92,0.956667,0.92,0.036667000000000005,136,240,670.256,613.972
23,1555680,5,500.0,500.0,420,400,400,0.755556,0.736111,0.755556,0.736111,0.019445000000000046,302,157,745.833,717.581
24,1555680,5,600.0,600.0,420,400,400,0.557143,0.521429,0.552381,0.521429,0.03095199999999998,415,363,792.589,773.945
25,1555680,5,700.0,700.0,420,400,400,0.452083,0.427083,0.452083,0.427083,0.025000000000000022,350,51,909.116,853.481
26,60466,5,350.0,350.0,420,400,400,0.995833,0.991667,0.995833,0.991667,0.004166000000000003,193,40,499.254,486.504
27,60466,5,400.0,400.0,420,400,400,0.906667,0.936667,0.906667,0.936667,-0.030000000000000027,341,209,674.381,628.729
28,60466,5,500.0,500.0,420,400,400,0.727778,0.741667,0.727778,0.741667,-0.01388899999999993,91,307,687.576,714.005
29,60466,5,600.0,600.0,420,400,400,0.538095,0.578571,0.521429,0.578571,-0.057141999999999915,419,348,822.383,786.188
30,60466,5,700.0,700.0,420,400,400,0.433333,0.45,0.433333,0.45,-0.016666999999999987,388,395,913.055,811.053
31,37283284,6,350.0,350.0,420,400,400,0.995833,0.991667,0.995833,0.991667,0.004166000000000003,157,26,545.739,500.403
32,37283284,6,400.0,400.0,420,400,400,0.963333,0.946667,0.963333,0.946667,0.01666599999999996,209,301,680.718,682.65
33,37283284,6,500.0,500.0,420,400,400,0.780556,0.825,0.780556,0.825,-0.04444399999999993,358,346,828.504,806.562
34,37283284,6,600.0,600.0,420,400,400,0.602381,0.597619,0.602381,0.597619,0.004762000000000044,196,142,882.268,884.548
35,37283284,6,700.0,700.0,420,400,400,0.55625,0.514583,0.55625,0.514583,0.04166700000000001,390,331,990.299,929.112
36,1555680,6,350.0,350.0,420,400,400,0.995833,0.979167,0.995833,0.979167,0.01666599999999996,227,330,536.403,500.401
37,1555680,6,400.0,400.0,420,400,400,0.956667,0.96,0.956667,0.96,-0.0033329999999999194,286,314,740.96,668.866
38,1555680,6,500.0,500.0,420,400,400,0.816667,0.758333,0.816667,0.758333,0.058334,260,21,824.637,795.569
39,1555680,6,600.0,600.0,420,400,400,0.590476,0.583333,0.590476,0.583333,0.0071430000000000105,181,316,899.912,878.755
40,1555680,6,700.0,700.0,420,400,400,0.497917,0.48125,0.497917,0.48125,0.016666999999999987,179,289,1000.09,952.878
41,60466,6,350.0,350.0,420,400,400,1.0,0.995833,1.0,0.995833,0.004167000000000032,371,114,517.78,497.01
42,60466,6,400.0,400.0,420,400,400,0.956667,0.943333,0.953333,0.943333,0.010000000000000009,404,174,718.657,675.015
43,60466,6,500.0,500.0,420,400,400,0.794444,0.813889,0.794444,0.813889,-0.019444999999999935,289,397,795.667,787.913
44,60466,6,600.0,600.0,420,400,400,0.57381,0.602381,0.571429,0.602381,-0.03095200000000009,420,346,837.074,871.16
45,60466,6,700.0,700.0,420,400,400,0.5125,0.4875,0.5125,0.4875,0.024999999999999967,264,240,982.175,930.751
46,37283284,7,350.0,350.0,420,400,400,0.9875,0.991667,0.9875,0.991667,-0.004166999999999921,92,257,553.416,523.146
