seed,relays,area,Naive,PSO,delta
60466,2,350,0.870833,0.8875,0.016666999999999987
60466,2,400,0.7,0.72,0.020000000000000018
60466,2,500,0.505556,0.508333,0.0027770000000000294
60466,2,600,0.340476,0.342857,0.002381000000000022
60466,2,700,0.235417,0.25,0.014583000000000013
60466,3,350,0.95,0.975,0.025000000000000022
60466,3,400,0.813333,0.856667,0.043333999999999984
60466,3,500,0.597222,0.65,0.05277799999999999
60466,3,600,0.457143,0.459524,0.0023809999999999665
60466,3,700,0.358333,0.345833,-0.012500000000000011
60466,4,350,0.991667,0.995833,0.004166000000000003
60466,4,400,0.86,0.876667,0.016666999999999987
60466,4,500,0.708333,0.741667,0.033333999999999975
60466,4,600,0.490476,0.516667,0.026190999999999964
60466,4,700,0.36875,0.404167,0.035416999999999976
60466,5,350,0.991667,0.995833,0.004166000000000003
60466,5,400,0.936667,0.906667,-0.030000000000000027
60466,5,500,0.741667,0.727778,-0.01388899999999993
60466,5,600,0.578571,0.538095,-0.040475999999999956
60466,5,700,0.45,0.433333,-0.016666999999999987
60466,6,350,0.995833,1.0,0.004167000000000032
60466,6,400,0.943333,0.956667,0.013334000000000068
60466,6,500,0.813889,0.794444,-0.019444999999999935
60466,6,600,0.602381,0.57381,-0.028571000000000013
60466,6,700,0.4875,0.5125,0.024999999999999967
60466,7,350,1.0,1.0,0.0
60466,7,400,0.953333,0.976667,0.023333999999999966
60466,7,500,0.797222,0.797222,0.0
60466,7,600,0.645238,0.628571,-0.016666999999999987
60466,7,700,0.545833,0.554167,0.008333999999999953
60466,8,350,0.995833,1.0,0.004167000000000032
60466,8,400,0.98,0.98,0.0
60466,8,500,0.85,0.844444,-0.005556000000000005
60466,8,600,0.661905,0.640476,-0.02142899999999992
60466,8,700,0.560417,0.564583,0.004165999999999892
1555680,2,350,0.758333,0.816667,0.058334
1555680,2,400,0.676667,0.71,0.033332999999999946
1555680,2,500,0.405556,0.419444,0.013887999999999956
1555680,2,600,0.288095,0.283333,-0.0047619999999999885
1555680,2,700,0.25,0.252083,0.0020830000000000015
1555680,3,350,0.916667,0.9375,0.02083299999999999
1555680,3,400,0.84,0.846667,0.0066669999999999785
1555680,3,500,0.558333,0.594444,0.036111000000000004
1555680,3,600,0.37619,0.428571,0.052380999999999955
1555680,3,700,0.327083,0.383333,0.05624999999999997
1555680,4,350,0.966667,0.9875,0.02083299999999999
1555680,4,400,0.91,0.916667,0.0066669999999999785
1555680,4,500,0.658333,0.727778,0.06944500000000009
1555680,4,600,0.466667,0.495238,0.028571000000000013
1555680,4,700,0.39375,0.447917,0.05416700000000002
1555680,5,350,0.975,0.9875,0.012500000000000067
1555680,5,400,0.92,0.956667,0.036667000000000005
1555680,5,500,0.736111,0.755556,0.019445000000000046
1555680,5,600,0.521429,0.557143,0.035714000000000024
1555680,5,700,0.427083,0.452083,0.025000000000000022
1555680,6,350,0.979167,0.995833,0.01666599999999996
1555680,6,400,0.96,0.956667,-0.0033329999999999194
1555680,6,500,0.758333,0.816667,0.058334
1555680,6,600,0.583333,0.590476,0.0071430000000000105
1555680,6,700,0.48125,0.497917,0.016666999999999987
1555680,7,350,0.991667,1.0,0.008333000000000035
1555680,7,400,0.966667,0.963333,-0.003334000000000059
1555680,7,500,0.8,0.8,0.0
1555680,7,600,0.62381,0.604762,-0.019047999999999954
1555680,7,700,0.525,0.485417,-0.039583000000000035
1555680,8,350,0.995833,1.0,0.004167000000000032
1555680,8,400,0.983333,0.983333,0.0
1555680,8,500,0.852778,0.838889,-0.01388900000000004
1555680,8,600,0.640476,0.711905,0.07142899999999996
1555680,8,700,0.602083,0.570833,-0.03125
37283284,2,350,0.775,0.791667,0.016666999999999987
37283284,2,400,0.62,0.663333,0.043332999999999955
37283284,2,500,0.444444,0.475,0.030555999999999972
37283284,2,600,0.316667,0.32619,0.009523000000000004
37283284,2,700,0.264583,0.285417,0.020833999999999964
37283284,3,350,0.908333,0.95,0.04166700000000001
37283284,3,400,0.806667,0.793333,-0.013334000000000068
37283284,3,500,0.575,0.616667,0.04166700000000001
37283284,3,600,0.419048,0.447619,0.028571000000000013
37283284,3,700,0.31875,0.377083,0.058333000000000024
37283284,4,350,0.966667,0.979167,0.012499999999999956
37283284,4,400,0.913333,0.916667,0.003334000000000059
37283284,4,500,0.669444,0.736111,0.06666699999999992
37283284,4,600,0.485714,0.52619,0.04047600000000007
37283284,4,700,0.4125,0.441667,0.029167
37283284,5,350,0.970833,0.9875,0.0166670000000001
37283284,5,400,0.94,0.973333,0.03333300000000006
37283284,5,500,0.727778,0.761111,0.033332999999999946
37283284,5,600,0.602381,0.561905,-0.04047600000000007
37283284,5,700,0.439583,0.491667,0.05208400000000002
37283284,6,350,0.991667,0.995833,0.004166000000000003
37283284,6,400,0.946667,0.963333,0.01666599999999996
37283284,6,500,0.825,0.780556,-0.04444399999999993
37283284,6,600,0.597619,0.602381,0.004762000000000044
37283284,6,700,0.514583,0.55625,0.04166700000000001
37283284,7,350,0.991667,0.9875,-0.004166999999999921
37283284,7,400,0.966667,0.966667,0.0
37283284,7,500,0.822222,0.827778,0.005556000000000005
37283284,7,600,0.62619,0.666667,0.040476999999999985
37283284,7,700,0.54375,0.529167,-0.014582999999999902
37283284,8,350,0.991667,1.0,0.008333000000000035
37283284,8,400,0.98,0.996667,0.016666999999999987
37283284,8,500,0.863889,0.858333,-0.005556000000000005
37283284,8,600,0.661905,0.654762,-0.0071430000000000105
37283284,8,700,0.614583,0.6,-0.014583000000000013
