relays,relay_power,0.00224,0.001,0.000316
2,0.00224,0.014814666666666643,0.03240799999999999,0.020370666666666665
2,0.001,0.01666633333333334,0.003703999999999985,0.0027780000000000027
2,0.000316,0.012037,0.012036933333333338,0.012962966666666664
3,0.00224,0.04351866666666667,0.01759233333333334,0.005555333333333329
3,0.001,0.04074066666666667,0.034259000000000005,0.025926000000000005
3,0.000316,0.019445000000000007,0.020370666666666676,-0.0018516666666666681
4,0.00224,0.049074666666666676,-0.0037033333333333363,0.024074333333333326
4,0.001,0.049073999999999986,0.04166666666666665,0.028703666666666645
4,0.000316,0.027777666666666662,0.025000000000000022,0.04351866666666668
6,0.00224,-0.001851666666666622,0.011111333333333287,-0.008333666666666665
6,0.001,0.009259333333333323,0.030555333333333306,-0.003703333333333355
6,0.000316,0.4037036666666667,0.387963,0.34166633333333335
