relays,relay_power,node_power,failed
2,0.000316,0.000316,0
2,0.000316,0.001,0
2,0.000316,0.00224,0
2,0.001,0.000316,0
2,0.001,0.001,0
2,0.001,0.00224,0
2,0.00224,0.000316,0
2,0.00224,0.001,0
2,0.00224,0.00224,0
3,0.000316,0.000316,0
3,0.000316,0.001,0
3,0.000316,0.00224,0
3,0.001,0.000316,0
3,0.001,0.001,0
3,0.001,0.00224,0
3,0.00224,0.000316,0
3,0.00224,0.001,0
3,0.00224,0.00224,0
4,0.000316,0.000316,3
4,0.000316,0.001,3
4,0.000316,0.00224,3
4,0.001,0.000316,0
4,0.001,0.001,0
4,0.001,0.00224,0
4,0.00224,0.000316,0
4,0.00224,0.001,0
4,0.00224,0.00224,0
6,0.000316,0.000316,3
6,0.000316,0.001,3
6,0.000316,0.00224,3
6,0.001,0.000316,0
6,0.001,0.001,0
6,0.001,0.00224,0
6,0.00224,0.000316,0
6,0.00224,0.001,0
6,0.00224,0.00224,0
