seed,relays,area,network_config,relay_power,node_power,Naive,PSO,delta,Naive_failed,PSO_failed
60466,2,500,1,0.00224,0.00224,0.505556,0.508333,0.0027770000000000294,False,False
60466,2,500,2,0.00224,0.001,0.372222,0.427778,0.055555999999999994,False,False
60466,2,500,3,0.00224,0.000316,0.147222,0.194444,0.047222000000000014,False,False
60466,2,500,4,0.001,0.00224,0.316667,0.361111,0.04444400000000004,False,False
60466,2,500,5,0.001,0.001,0.261111,0.258333,-0.0027780000000000027,False,False
60466,2,500,6,0.001,0.000316,0.172222,0.191667,0.019445000000000018,False,False
60466,2,500,7,0.000316,0.00224,0.163889,0.2,0.036111000000000004,False,False
60466,2,500,8,0.000316,0.001,0.166667,0.2,0.033333,False,False
60466,2,500,9,0.000316,0.000316,0.138889,0.152778,0.013888999999999985,False,False
60466,3,500,1,0.00224,0.00224,0.597222,0.65,0.05277799999999999,False,False
60466,3,500,2,0.00224,0.001,0.480556,0.494444,0.013888000000000011,False,False
60466,3,500,3,0.00224,0.000316,0.236111,0.252778,0.016667000000000015,False,False
60466,3,500,4,0.001,0.00224,0.463889,0.513889,0.050000000000000044,False,False
60466,3,500,5,0.001,0.001,0.408333,0.45,0.04166700000000001,False,False
60466,3,500,6,0.001,0.000316,0.236111,0.252778,0.016667000000000015,False,False
60466,3,500,7,0.000316,0.00224,0.222222,0.261111,0.03888899999999998,False,False
60466,3,500,8,0.000316,0.001,0.216667,0.266667,0.04999999999999999,False,False
60466,3,500,9,0.000316,0.000316,0.2,0.191667,-0.008333000000000007,False,False
60466,4,500,1,0.00224,0.00224,0.708333,0.741667,0.033333999999999975,False,False
60466,4,500,2,0.00224,0.001,0.525,0.555556,0.030556000000000028,False,False
60466,4,500,3,0.00224,0.000316,0.283333,0.311111,0.027778000000000025,False,False
60466,4,500,4,0.001,0.00224,0.547222,0.605556,0.058334,False,False
60466,4,500,5,0.001,0.001,0.488889,0.541667,0.05277799999999999,False,False
60466,4,500,6,0.001,0.000316,0.322222,0.341667,0.01944499999999999,False,False
60466,4,500,7,0.000316,0.00224,0.0,0.266667,0.266667,True,False
60466,4,500,8,0.000316,0.001,0.0,0.275,0.275,True,False
60466,4,500,9,0.000316,0.000316,0.0,0.241667,0.241667,True,False
60466,6,500,1,0.00224,0.00224,0.813889,0.794444,-0.019444999999999935,False,False
60466,6,500,2,0.00224,0.001,0.638889,0.641667,0.002777999999999947,False,False
60466,6,500,3,0.00224,0.000316,0.377778,0.361111,-0.016666999999999987,False,False
60466,6,500,4,0.001,0.00224,0.686111,0.713889,0.02777799999999997,False,False
60466,6,500,5,0.001,0.001,0.608333,0.594444,-0.01388900000000004,False,False
60466,6,500,6,0.001,0.000316,0.394444,0.45,0.055555999999999994,False,False
60466,6,500,7,0.000316,0.00224,0.0,0.461111,0.461111,True,False
60466,6,500,8,0.000316,0.001,0.0,0.425,0.425,True,False
60466,6,500,9,0.000316,0.000316,0.0,0.372222,0.372222,True,False
1555680,2,500,1,0.00224,0.00224,0.405556,0.419444,0.013887999999999956,False,False
1555680,2,500,2,0.00224,0.001,0.294444,0.316667,0.022222999999999993,False,False
1555680,2,500,3,0.00224,0.000316,0.186111,0.186111,0.0,False,False
1555680,2,500,4,0.001,0.00224,0.266667,0.266667,0.0,False,False
1555680,2,500,5,0.001,0.001,0.233333,0.241667,0.00833399999999998,False,False
1555680,2,500,6,0.001,0.000316,0.15,0.147222,-0.0027780000000000027,False,False
1555680,2,500,7,0.000316,0.00224,0.1,0.1,0.0,False,False
1555680,2,500,8,0.000316,0.001,0.0972222,0.1,0.002777800000000011,False,False
1555680,2,500,9,0.000316,0.000316,0.0833333,0.0972222,0.013888899999999996,False,False
1555680,3,500,1,0.00224,0.00224,0.558333,0.594444,0.036111000000000004,False,False
1555680,3,500,2,0.00224,0.001,0.408333,0.427778,0.01944499999999999,False,False
1555680,3,500,3,0.00224,0.000316,0.277778,0.286111,0.00833299999999998,False,False
1555680,3,500,4,0.001,0.00224,0.413889,0.408333,-0.005556000000000005,False,False
1555680,3,500,5,0.001,0.001,0.352778,0.372222,0.019444000000000017,False,False
1555680,3,500,6,0.001,0.000316,0.255556,0.25,-0.005556000000000005,False,False
1555680,3,500,7,0.000316,0.00224,0.183333,0.166667,-0.016665999999999986,False,False
1555680,3,500,8,0.000316,0.001,0.183333,0.166667,-0.016665999999999986,False,False
1555680,3,500,9,0.000316,0.000316,0.147222,0.15,0.0027780000000000027,False,False
1555680,4,500,1,0.00224,0.00224,0.658333,0.727778,0.06944500000000009,False,False
1555680,4,500,2,0.00224,0.001,0.536111,0.472222,-0.06388900000000003,False,False
1555680,4,500,3,0.00224,0.000316,0.322222,0.355556,0.033333999999999975,False,False
1555680,4,500,4,0.001,0.00224,0.488889,0.544444,0.05555500000000002,False,False
