seed,relays,area,Naive,PSO,delta
60466,2,500,0.505556,0.508333,0.0027770000000000294
60466,3,500,0.597222,0.65,0.05277799999999999
60466,4,500,0.708333,0.741667,0.033333999999999975
60466,6,500,0.813889,0.794444,-0.019444999999999935
1555680,2,500,0.405556,0.419444,0.013887999999999956
1555680,3,500,0.558333,0.594444,0.036111000000000004
1555680,4,500,0.658333,0.727778,0.06944500000000009
1555680,6,500,0.758333,0.816667,0.058334
37283284,2,500,0.444444,0.475,0.030555999999999972
37283284,3,500,0.575,0.616667,0.04166700000000001
37283284,4,500,0.669444,0.736111,0.06666699999999992
37283284,6,500,0.825,0.780556,-0.04444399999999993
