pair_index,seed,relays,width,height,network_config,pso_400,pso_final,pso_extra_20_gain,pso_evaluations,naive_400,naive_failed,naive_no_solution,delta,pso_file,naive_file,power,relay_power,node_power,result_400
1,525339,2,500.0,500.0,1,0.444444,0.444444,0.0,420,0.425,False,False,0.019444000000000017,2026-09-23_00-13-42.log,2026-09-23_00-23-45.log,HH,0.00224,0.00224,WIN
2,864365,2,500.0,500.0,1,0.386111,0.386111,0.0,420,0.397222,False,False,-0.011111000000000038,2026-09-23_00-31-53.log,2026-09-23_00-41-13.log,HH,0.00224,0.00224,LOSS
3,67358,2,500.0,500.0,1,0.497222,0.497222,0.0,420,0.477778,False,False,0.019444000000000017,2026-09-23_00-49-17.log,2026-09-23_00-59-31.log,HH,0.00224,0.00224,WIN
4,747263,2,500.0,500.0,1,0.461111,0.461111,0.0,420,0.463889,False,False,-0.0027780000000000027,2026-09-23_01-07-48.log,2026-09-23_01-17-24.log,HH,0.00224,0.00224,LOSS
5,677807,2,500.0,500.0,1,0.516667,0.516667,0.0,420,0.475,False,False,0.04166700000000001,2026-09-23_01-25-27.log,2026-09-23_01-35-15.log,HH,0.00224,0.00224,WIN
6,806219,2,500.0,500.0,1,0.430556,0.430556,0.0,420,0.416667,False,False,0.013888999999999985,2026-09-23_01-43-35.log,2026-09-23_01-52-32.log,HH,0.00224,0.00224,WIN
7,76126870,2,500.0,500.0,1,0.477778,0.477778,0.0,420,0.452778,False,False,0.024999999999999967,2026-09-23_02-00-50.log,2026-09-23_02-10-19.log,HH,0.00224,0.00224,WIN
8,74509218,2,500.0,500.0,1,0.463889,0.463889,0.0,420,0.458333,False,False,0.005556000000000005,2026-09-23_02-18-21.log,2026-09-23_02-27-51.log,HH,0.00224,0.00224,WIN
9,1664576,2,500.0,500.0,1,0.466667,0.466667,0.0,420,0.444444,False,False,0.022222999999999993,2026-09-23_02-36-12.log,2026-09-23_02-46-09.log,HH,0.00224,0.00224,WIN
10,40063030,2,500.0,500.0,1,0.480556,0.480556,0.0,420,0.458333,False,False,0.022222999999999993,2026-09-23_02-54-24.log,2026-09-23_03-04-16.log,HH,0.00224,0.00224,WIN
11,38032146,2,500.0,500.0,1,0.486111,0.486111,0.0,420,0.45,False,False,0.036111000000000004,2026-09-23_03-12-36.log,2026-09-23_03-22-27.log,HH,0.00224,0.00224,WIN
12,74485470,2,500.0,500.0,1,0.5,0.502778,0.002777999999999947,420,0.488889,False,False,0.011110999999999982,2026-09-23_03-30-18.log,2026-09-23_03-40-15.log,HH,0.00224,0.00224,WIN
13,525339,2,500.0,500.0,2,0.333333,0.333333,0.0,420,0.3,False,False,0.033333,2026-09-23_03-48-53.log,2026-09-23_03-57-54.log,HM,0.00224,0.001,WIN
14,864365,2,500.0,500.0,2,0.3,0.3,0.0,420,0.291667,False,False,0.00833299999999998,2026-09-23_04-05-51.log,2026-09-23_04-14-46.log,HM,0.00224,0.001,WIN
15,67358,2,500.0,500.0,2,0.336111,0.336111,0.0,420,0.344444,False,False,-0.00833299999999998,2026-09-23_04-22-29.log,2026-09-23_04-31-45.log,HM,0.00224,0.001,LOSS
16,747263,2,500.0,500.0,2,0.397222,0.397222,0.0,420,0.372222,False,False,0.025000000000000022,2026-09-23_04-39-48.log,2026-09-23_04-49-10.log,HM,0.00224,0.001,WIN
17,677807,2,500.0,500.0,2,0.361111,0.361111,0.0,420,0.352778,False,False,0.008333000000000035,2026-09-23_04-57-03.log,2026-09-23_05-06-13.log,HM,0.00224,0.001,WIN
18,806219,2,500.0,500.0,2,0.352778,0.352778,0.0,420,0.305556,False,False,0.047221999999999986,2026-09-23_05-14-23.log,2026-09-23_05-23-25.log,HM,0.00224,0.001,WIN
19,76126870,2,500.0,500.0,2,0.361111,0.361111,0.0,420,0.316667,False,False,0.04444400000000004,2026-09-23_05-31-32.log,2026-09-23_05-40-38.log,HM,0.00224,0.001,WIN
20,74509218,2,500.0,500.0,2,0.397222,0.397222,0.0,420,0.361111,False,False,0.036111000000000004,2026-09-23_05-48-30.log,2026-09-23_05-57-59.log,HM,0.00224,0.001,WIN
21,1664576,2,500.0,500.0,2,0.358333,0.358333,0.0,420,0.344444,False,False,0.01388900000000004,2026-09-23_06-06-01.log,2026-09-23_06-15-18.log,HM,0.00224,0.001,WIN
22,40063030,2,500.0,500.0,2,0.383333,0.383333,0.0,420,0.363889,False,False,0.01944399999999996,2026-09-23_06-23-19.log,2026-09-23_06-32-39.log,HM,0.00224,0.001,WIN
23,38032146,2,500.0,500.0,2,0.333333,0.333333,0.0,420,0.313889,False,False,0.019444000000000017,2026-09-23_06-40-43.log,2026-09-23_06-49-50.log,HM,0.00224,0.001,WIN
24,74485470,2,500.0,500.0,2,0.383333,0.386111,0.0027780000000000027,420,0.355556,False,False,0.027776999999999996,2026-09-23_06-57-29.log,2026-09-23_07-06-59.log,HM,0.00224,0.001,WIN
25,525339,3,500.0,500.0,1,0.575,0.575,0.0,420,0.547222,False,False,0.02777799999999997,2026-09-23_07-15-18.log,2026-09-23_07-25-56.log,HH,0.00224,0.00224,WIN
26,864365,3,500.0,500.0,1,0.577778,0.577778,0.0,420,0.541667,False,False,0.036111000000000004,2026-09-23_07-35-16.log,2026-09-23_07-46-15.log,HH,0.00224,0.00224,WIN
27,67358,3,500.0,500.0,1,0.616667,0.616667,0.0,420,0.583333,False,False,0.033333999999999975,2026-09-23_07-55-39.log,2026-09-23_08-06-47.log,HH,0.00224,0.00224,WIN
28,747263,3,500.0,500.0,1,0.6,0.6,0.0,420,0.555556,False,False,0.04444399999999993,2026-09-23_08-16-16.log,2026-09-23_08-27-12.log,HH,0.00224,0.00224,WIN
29,677807,3,500.0,500.0,1,0.636111,0.638889,0.002778000000000058,420,0.608333,False,False,0.02777799999999997,2026-09-23_08-36-31.log,2026-09-23_08-47-25.log,HH,0.00224,0.00224,WIN
30,806219,3,500.0,500.0,1,0.588889,0.588889,0.0,420,0.577778,False,False,0.011110999999999982,2026-09-23_08-57-07.log,2026-09-23_09-08-17.log,HH,0.00224,0.00224,WIN
31,76126870,3,500.0,500.0,1,0.647222,0.647222,0.0,420,0.591667,False,False,0.05555499999999991,2026-09-23_09-17-37.log,2026-09-23_09-29-11.log,HH,0.00224,0.00224,WIN
