pair,method,file,seed,relays,width,height,iteration,evaluation,best_fitness
1,PSO,2026-09-23_00-13-42.log,525339,2,500.0,500.0,0,1,0.113889
1,PSO,2026-09-23_00-13-42.log,525339,2,500.0,500.0,0,2,0.372222
1,PSO,2026-09-23_00-13-42.log,525339,2,500.0,500.0,1,32,0.405556
1,PSO,2026-09-23_00-13-42.log,525339,2,500.0,500.0,2,60,0.408333
1,PSO,2026-09-23_00-13-42.log,525339,2,500.0,500.0,4,81,0.411111
1,PSO,2026-09-23_00-13-42.log,525339,2,500.0,500.0,4,92,0.413889
1,PSO,2026-09-23_00-13-42.log,525339,2,500.0,500.0,5,118,0.419444
1,PSO,2026-09-23_00-13-42.log,525339,2,500.0,500.0,6,130,0.444444
1,Naive,2026-09-23_00-23-45.log,,193,,,0,1,0.113889
1,Naive,2026-09-23_00-23-45.log,,193,,,1,2,0.372222
1,Naive,2026-09-23_00-23-45.log,,193,,,44,45,0.411111
1,Naive,2026-09-23_00-23-45.log,,193,,,168,169,0.425
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,0,1,0.158333
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,0,2,0.202778
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,0,3,0.266667
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,0,5,0.3
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,0,8,0.336111
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,0,9,0.35
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,1,23,0.358333
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,2,58,0.363889
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,5,107,0.372222
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,5,117,0.375
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,7,150,0.380556
2,PSO,2026-09-23_00-31-53.log,864365,2,500.0,500.0,11,235,0.386111
2,Naive,2026-09-23_00-41-13.log,,96,,,0,1,0.158333
2,Naive,2026-09-23_00-41-13.log,,96,,,1,2,0.202778
2,Naive,2026-09-23_00-41-13.log,,96,,,2,3,0.266667
2,Naive,2026-09-23_00-41-13.log,,96,,,4,5,0.3
2,Naive,2026-09-23_00-41-13.log,,96,,,7,8,0.336111
2,Naive,2026-09-23_00-41-13.log,,96,,,8,9,0.35
2,Naive,2026-09-23_00-41-13.log,,96,,,25,26,0.366667
2,Naive,2026-09-23_00-41-13.log,,96,,,148,149,0.397222
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,0,1,0.333333
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,0,18,0.419444
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,2,41,0.444444
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,3,61,0.447222
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,3,78,0.45
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,4,91,0.455556
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,4,92,0.483333
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,6,139,0.486111
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,7,146,0.488889
3,PSO,2026-09-23_00-49-17.log,67358,2,500.0,500.0,8,169,0.497222
3,Naive,2026-09-23_00-59-31.log,,206,,,0,1,0.333333
3,Naive,2026-09-23_00-59-31.log,,206,,,17,18,0.419444
