pair,seed,relays,width,height,nodes,network_config,evaluations,pso_best_pdr,naive_best_pdr,delta_pdr,naive_failed,naive_failed_before_checkpoint,naive_last_logged_iteration
1,525339,2,500.0,500.0,,1,20,0.372222,0.372222,0.0,False,False,168
1,525339,2,500.0,500.0,,1,40,0.405556,0.372222,0.03333400000000003,False,False,168
1,525339,2,500.0,500.0,,1,60,0.408333,0.411111,-0.0027780000000000027,False,False,168
1,525339,2,500.0,500.0,,1,80,0.408333,0.411111,-0.0027780000000000027,False,False,168
1,525339,2,500.0,500.0,,1,100,0.413889,0.411111,0.0027780000000000027,False,False,168
1,525339,2,500.0,500.0,,1,120,0.419444,0.411111,0.00833299999999998,False,False,168
1,525339,2,500.0,500.0,,1,140,0.444444,0.411111,0.033333,False,False,168
1,525339,2,500.0,500.0,,1,160,0.444444,0.411111,0.033333,False,False,168
1,525339,2,500.0,500.0,,1,180,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,200,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,220,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,240,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,260,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,280,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,300,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,320,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,340,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,360,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,380,0.444444,0.425,0.019444000000000017,False,False,168
1,525339,2,500.0,500.0,,1,400,0.444444,0.425,0.019444000000000017,False,False,168
2,864365,2,500.0,500.0,,1,20,0.35,0.35,0.0,False,False,148
2,864365,2,500.0,500.0,,1,40,0.358333,0.366667,-0.008334000000000008,False,False,148
2,864365,2,500.0,500.0,,1,60,0.363889,0.366667,-0.0027780000000000027,False,False,148
2,864365,2,500.0,500.0,,1,80,0.363889,0.366667,-0.0027780000000000027,False,False,148
2,864365,2,500.0,500.0,,1,100,0.363889,0.366667,-0.0027780000000000027,False,False,148
2,864365,2,500.0,500.0,,1,120,0.375,0.366667,0.00833299999999998,False,False,148
2,864365,2,500.0,500.0,,1,140,0.375,0.366667,0.00833299999999998,False,False,148
2,864365,2,500.0,500.0,,1,160,0.380556,0.397222,-0.016666000000000014,False,False,148
2,864365,2,500.0,500.0,,1,180,0.380556,0.397222,-0.016666000000000014,False,False,148
2,864365,2,500.0,500.0,,1,200,0.380556,0.397222,-0.016666000000000014,False,False,148
2,864365,2,500.0,500.0,,1,220,0.380556,0.397222,-0.016666000000000014,False,False,148
2,864365,2,500.0,500.0,,1,240,0.386111,0.397222,-0.011111000000000038,False,False,148
2,864365,2,500.0,500.0,,1,260,0.386111,0.397222,-0.011111000000000038,False,False,148
2,864365,2,500.0,500.0,,1,280,0.386111,0.397222,-0.011111000000000038,False,False,148
2,864365,2,500.0,500.0,,1,300,0.386111,0.397222,-0.011111000000000038,False,False,148
2,864365,2,500.0,500.0,,1,320,0.386111,0.397222,-0.011111000000000038,False,False,148
2,864365,2,500.0,500.0,,1,340,0.386111,0.397222,-0.011111000000000038,False,False,148
2,864365,2,500.0,500.0,,1,360,0.386111,0.397222,-0.011111000000000038,False,False,148
2,864365,2,500.0,500.0,,1,380,0.386111,0.397222,-0.011111000000000038,False,False,148
2,864365,2,500.0,500.0,,1,400,0.386111,0.397222,-0.011111000000000038,False,False,148
3,67358,2,500.0,500.0,,1,20,0.419444,0.419444,0.0,False,False,343
3,67358,2,500.0,500.0,,1,40,0.419444,0.472222,-0.05277799999999999,False,False,343
3,67358,2,500.0,500.0,,1,60,0.444444,0.472222,-0.02777799999999997,False,False,343
3,67358,2,500.0,500.0,,1,80,0.45,0.472222,-0.022221999999999964,False,False,343
3,67358,2,500.0,500.0,,1,100,0.483333,0.472222,0.011111000000000038,False,False,343
3,67358,2,500.0,500.0,,1,120,0.483333,0.472222,0.011111000000000038,False,False,343
3,67358,2,500.0,500.0,,1,140,0.486111,0.472222,0.01388900000000004,False,False,343
3,67358,2,500.0,500.0,,1,160,0.488889,0.472222,0.016667000000000043,False,False,343
3,67358,2,500.0,500.0,,1,180,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,200,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,220,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,240,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,260,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,280,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,300,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,320,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,340,0.497222,0.472222,0.025000000000000022,False,False,343
3,67358,2,500.0,500.0,,1,360,0.497222,0.477778,0.019444000000000017,False,False,343
3,67358,2,500.0,500.0,,1,380,0.497222,0.477778,0.019444000000000017,False,False,343
3,67358,2,500.0,500.0,,1,400,0.497222,0.477778,0.019444000000000017,False,False,343
4,747263,2,500.0,500.0,,1,20,0.425,0.425,0.0,False,False,133
4,747263,2,500.0,500.0,,1,40,0.425,0.425,0.0,False,False,133
4,747263,2,500.0,500.0,,1,60,0.425,0.425,0.0,False,False,133
