relays,width,height,nodes,network_config,evaluations,pairs,mean_pso_pdr,mean_naive_pdr,mean_delta_pdr,median_delta_pdr,pso_wins,ties,naive_wins,naive_failed_pairs
2,500.0,500.0,,1,20,12,0.4092591666666667,0.4092591666666667,0.0,0.0,0,12,0,0
2,500.0,500.0,,1,40,12,0.4256945,0.42083316666666665,0.004861333333333333,0.0,4,3,5,0
2,500.0,500.0,,1,60,12,0.4358795,0.42754616666666667,0.008333333333333337,0.0,5,2,5,0
2,500.0,500.0,,1,80,12,0.44189808333333336,0.4296295,0.012268583333333333,0.0,5,3,4,0
2,500.0,500.0,,1,100,12,0.44861116666666667,0.4296295,0.01898166666666667,0.009722500000000023,9,1,2,0
2,500.0,500.0,,1,120,12,0.4527776666666667,0.43402766666666664,0.01875,0.009722500000000023,10,1,1,0
2,500.0,500.0,,1,140,12,0.4578703333333333,0.4363424166666667,0.02152791666666667,0.012500500000000025,10,0,2,0
2,500.0,500.0,,1,160,12,0.45972225,0.44004608333333334,0.01967616666666667,0.013889500000000027,8,0,4,0
2,500.0,500.0,,1,180,12,0.46087958333333334,0.4421295,0.01875008333333333,0.0166665,8,0,4,0
2,500.0,500.0,,1,200,12,0.4620370833333333,0.4439814166666667,0.018055666666666664,0.02083299999999999,8,0,4,0
2,500.0,500.0,,1,220,12,0.4627315833333333,0.4439814166666667,0.018750166666666665,0.020833500000000005,8,0,4,0
2,500.0,500.0,,1,240,12,0.46388891666666665,0.44699066666666665,0.016898249999999993,0.020833500000000005,8,0,4,0
2,500.0,500.0,,1,260,12,0.46435191666666664,0.449537,0.014814916666666659,0.020833500000000005,8,1,3,0
2,500.0,500.0,,1,280,12,0.46458333333333335,0.449537,0.015046333333333328,0.020833500000000005,8,1,3,0
2,500.0,500.0,,1,300,12,0.46574075,0.45023141666666666,0.015509333333333328,0.020833500000000005,9,0,3,0
2,500.0,500.0,,1,320,12,0.46689825,0.45023141666666666,0.01666683333333333,0.020833500000000005,9,0,3,0
2,500.0,500.0,,1,340,12,0.46689825,0.45023141666666666,0.01666683333333333,0.020833500000000005,9,0,3,0
