scenario_id,n_clusters,n_nodes,node_id,x,y
0,6,66,0,397.61,427.513
0,6,66,1,173.673,92.3866
0,6,66,2,319.657,253.964
0,6,66,3,359.981,238.72
0,6,66,4,127.141,14.8353
0,6,66,5,279.886,112.917
0,6,66,6,345.683,505.341
0,6,66,7,486.659,336.018
0,6,66,8,76.463,559.245
0,6,66,9,315.075,452.634
0,6,66,10,83.898,81.5497
0,6,66,11,29.5579,175.198
0,6,66,12,268.457,260.816
0,6,66,13,477.721,514.055
0,6,66,14,416.303,225.602
0,6,66,15,50.24,279.404
0,6,66,16,255.715,148.377
0,6,66,17,407.821,444.471
0,6,66,18,292.39,207.119
0,6,66,19,141.498,358.954
0,6,66,20,526.7,65.1538
0,6,66,21,105.201,287.423
0,6,66,22,152.454,72.5815
0,6,66,23,335.294,131.423
0,6,66,24,371.17,41.7019
0,6,66,25,18.4459,544.69
0,6,66,26,239.166,396.942
0,6,66,27,377.639,371.512
0,6,66,28,206.008,96.5852
0,6,66,29,553.902,230.196
0,6,66,30,286.633,484.259
0,6,66,31,226.418,421.19
0,6,66,32,232.783,122.308
0,6,66,33,201.504,460.953
0,6,66,34,512.666,522.329
0,6,66,35,167.284,293.879
0,6,66,36,57.1073,499.785
0,6,66,37,178.128,192.928
0,6,66,38,384.409,531.112
0,6,66,39,436.104,45.0242
0,6,66,40,495.571,326.999
0,6,66,41,466.299,21.4664
0,6,66,42,453.644,105.034
0,6,66,43,545.631,266.718
0,6,66,44,92.7125,302.658
0,6,66,45,188.504,138.834
0,6,66,46,68.6185,168.45
0,6,66,47,257.704,382.113
0,6,66,48,445.882,309.74
0,6,66,49,496.175,440.385
0,6,66,50,2.84241,1.87498
0,6,66,51,567.968,153.356
0,6,66,52,407.186,197.108
0,6,66,53,562.617,376.652
0,6,66,54,115.996,469.056
0,6,66,55,429.193,540.99
0,6,66,56,149.69,347.753
0,6,66,57,13.3561,340.374
0,6,66,58,113.158,185.284
0,6,66,59,534.94,407.938
0,6,66,60,35.714,59.1704
0,6,66,61,215.824,401.838
0,6,66,62,576.02,28.5192
0,6,66,63,336.635,315.494
0,6,66,64,520.36,219.851
0,6,66,65,307.709,477.421
1,6,69,0,539.705,74.2759
1,6,69,1,459.213,64.4987
1,6,69,2,71.9844,232.117
1,6,69,3,528.255,227.595
1,6,69,4,433.503,498.763
1,6,69,5,479.937,433.524
1,6,69,6,493.238,492.403
1,6,69,7,360.037,579.138
1,6,69,8,263.618,141.843
1,6,69,9,535.113,459.872
1,6,69,10,55.3063,151.575
